"","2051-01-16 12:00:00 GMT","2051-02-16 00:00:00 GMT","2051-03-16 12:00:00 GMT","2051-04-16 00:00:00 GMT","2051-05-16 12:00:00 GMT","2051-06-16 00:00:00 GMT","2051-07-16 12:00:00 GMT","2051-08-16 12:00:00 GMT","2051-09-16 00:00:00 GMT","2051-10-16 12:00:00 GMT","2051-11-16 00:00:00 GMT","2051-12-16 12:00:00 GMT","2052-01-16 12:00:00 GMT","2052-02-16 00:00:00 GMT","2052-03-16 12:00:00 GMT","2052-04-16 00:00:00 GMT","2052-05-16 12:00:00 GMT","2052-06-16 00:00:00 GMT","2052-07-16 12:00:00 GMT","2052-08-16 12:00:00 GMT","2052-09-16 00:00:00 GMT","2052-10-16 12:00:00 GMT","2052-11-16 00:00:00 GMT","2052-12-16 12:00:00 GMT","2053-01-16 12:00:00 GMT","2053-02-16 00:00:00 GMT","2053-03-16 12:00:00 GMT","2053-04-16 00:00:00 GMT","2053-05-16 12:00:00 GMT","2053-06-16 00:00:00 GMT","2053-07-16 12:00:00 GMT","2053-08-16 12:00:00 GMT","2053-09-16 00:00:00 GMT","2053-10-16 12:00:00 GMT","2053-11-16 00:00:00 GMT","2053-12-16 12:00:00 GMT","2054-01-16 12:00:00 GMT","2054-02-16 00:00:00 GMT","2054-03-16 12:00:00 GMT","2054-04-16 00:00:00 GMT","2054-05-16 12:00:00 GMT","2054-06-16 00:00:00 GMT","2054-07-16 12:00:00 GMT","2054-08-16 12:00:00 GMT","2054-09-16 00:00:00 GMT","2054-10-16 12:00:00 GMT","2054-11-16 00:00:00 GMT","2054-12-16 12:00:00 GMT","2055-01-16 12:00:00 GMT","2055-02-16 00:00:00 GMT","2055-03-16 12:00:00 GMT","2055-04-16 00:00:00 GMT","2055-05-16 12:00:00 GMT","2055-06-16 00:00:00 GMT","2055-07-16 12:00:00 GMT","2055-08-16 12:00:00 GMT","2055-09-16 00:00:00 GMT","2055-10-16 12:00:00 GMT","2055-11-16 00:00:00 GMT","2055-12-16 12:00:00 GMT"
"060010007",18.9103779304391,22.5704275903471,23.3423386842439,22.0558008818212,22.5175798829431,16.46837605041,15.6211824177466,15.8271422958477,15.6211824177466,15.6211824177466,15.6211824177466,18.4963413329358,21.7485839529306,22.7973672186296,22.86740083415,21.9238568486666,22.3243387452527,22.0083386850963,16.0861269269414,15.6211824177466,15.6211824177466,15.6211824177466,20.9771398407628,18.0835883704225,21.4989711264153,20.2444717700483,22.5013453195155,23.8129972468867,21.8730391913733,19.9052764342346,15.6211824177466,15.6211824177466,15.6211824177466,15.6211824177466,19.0921911402092,17.8389233937718,21.6166343911478,23.2799156187993,22.7901906314641,22.1672422970247,22.6827280844824,20.5187122445003,15.6211824177466,15.6211824177466,15.6211824177466,15.6211824177466,15.6211824177466,19.6612854037856,20.7862927892107,20.3309193249108,22.6445111590526,22.4205938049393,22.3072783030356,18.6553171228234,15.6211824177466,15.6211824177466,15.6211824177466,15.6211824177466,15.6211824177466,15.6211824177466
"060010009",17.971084021722,21.3361519039105,22.1851837816152,20.8497161290098,21.3195631125082,15.1034477243035,14.1113764392311,14.2349523660918,14.1113764392311,14.1113764392311,14.1113764392311,17.5571481773105,20.5982585717738,21.5788804783112,21.6129562038436,20.791377004728,21.0766867846712,20.7069196056052,14.5763209484259,14.1113764392311,14.1113764392311,14.1113764392311,20.0040492584887,17.247025843394,20.4111041424939,18.608081329143,21.2824885444429,22.389598122547,20.690550811111,18.7835636376518,14.1113764392311,14.1113764392311,14.1113764392311,14.1113764392311,18.3285631938074,16.8702020533234,20.4881336545663,21.9670436512653,21.491137927915,20.9962403180137,21.3681853886333,19.4112054141746,14.1113764392311,14.1113764392311,14.1113764392311,14.1113764392311,14.1113764392311,18.756499268458,19.9576381577411,19.7478299537219,21.420472174441,21.1694164551717,20.9797246311441,17.4772662837242,14.1113764392311,14.1113764392311,14.1113764392311,14.1113764392311,14.1113764392311,14.1113764392311
"060010011",17.971084021722,21.3361519039105,22.1851837816152,20.8497161290098,21.3195631125082,15.1034477243035,14.1113764392311,14.2349523660918,14.1113764392311,14.1113764392311,14.1113764392311,17.5571481773105,20.5982585717738,21.5788804783112,21.6129562038436,20.791377004728,21.0766867846712,20.7069196056052,14.5763209484259,14.1113764392311,14.1113764392311,14.1113764392311,20.0040492584887,17.247025843394,20.4111041424939,18.608081329143,21.2824885444429,22.389598122547,20.690550811111,18.7835636376518,14.1113764392311,14.1113764392311,14.1113764392311,14.1113764392311,18.3285631938074,16.8702020533234,20.4881336545663,21.9670436512653,21.491137927915,20.9962403180137,21.3681853886333,19.4112054141746,14.1113764392311,14.1113764392311,14.1113764392311,14.1113764392311,14.1113764392311,18.756499268458,19.9576381577411,19.7478299537219,21.420472174441,21.1694164551717,20.9797246311441,17.4772662837242,14.1113764392311,14.1113764392311,14.1113764392311,14.1113764392311,14.1113764392311,14.1113764392311
"060012001",18.4407309760805,21.9532897471288,22.7637612329296,21.4527585054155,21.9185714977256,15.7859118873567,14.8662794284888,15.0310473309698,14.8662794284888,14.8662794284888,14.8662794284888,18.0267447551232,21.1734212623522,22.1881238484704,22.2401785189968,21.3576169266973,21.7005127649619,21.3576291453508,15.3312239376837,14.8662794284888,14.8662794284888,14.8662794284888,20.4905945496257,17.6653071069083,20.9550376344546,19.4262765495956,21.8919169319792,23.1012976847169,21.2817950012422,19.3444200359432,14.8662794284888,14.8662794284888,14.8662794284888,14.8662794284888,18.7103771670083,17.3545627235476,21.0523840228571,22.6234796350323,22.1406642796895,21.5817413075192,22.0254567365579,19.9649588293374,14.8662794284888,14.8662794284888,14.8662794284888,14.8662794284888,14.8662794284888,19.2088923361218,20.3719654734759,20.0393746393164,22.0324916667468,21.7950051300555,21.6435014670898,18.0662917032738,14.8662794284888,14.8662794284888,14.8662794284888,14.8662794284888,14.8662794284888,14.8662794284888
"060050002",19.0370938600876,22.8961779877421,24.4874020903246,22.3752270047261,22.9172022601912,17.2017827739389,15.8840671466717,15.9870470857222,15.8840671466717,15.8840671466717,15.8840671466717,18.5750615207783,22.0322706941972,23.2716932053922,23.5212036388116,22.4096934984685,22.5257115148852,22.7772969563959,15.9770560485106,15.8840671466717,15.8840671466717,15.8840671466717,20.9900316656819,16.9616514417845,22.0092726202852,21.0149529515257,23.0304816368381,23.8265379054138,22.2963654249302,21.109257691185,15.8840671466717,15.8840671466717,15.8840671466717,15.8840671466717,19.5380511705977,17.8613749438321,21.9772345726991,24.994066423086,23.1753012677755,22.4091690485365,23.2211224120115,21.6711856112158,15.8840671466717,15.8840671466717,15.8840671466717,16.6811287223923,15.8840671466717,20.1257472720941,19.3305330304473,18.9971700883121,23.2326041351243,22.9625549098612,22.6985347478106,20.5693051020738,15.8840671466717,15.8840671466717,15.8840671466717,15.8840671466717,15.8840671466717,15.8840671466717
"060070002",17.303722075091,21.7783682931045,25.1307650535176,21.4161533115811,21.7990940408905,14.1561332658976,13.6059063053218,13.6059063053218,13.6059063053218,13.6059063053218,13.6059063053218,17.3790428486899,21.1740882741243,23.9023569352445,23.9374881555284,21.5690654651176,21.1233902726669,20.7540195167943,13.6988952071608,13.6059063053218,13.6059063053218,13.6059063053218,20.0231322559557,15.6653534291108,21.1528635428151,21.0377969940652,21.9631734547218,22.0016154510711,21.4047872166486,18.4270243608944,13.6059063053218,13.6059063053218,13.6059063053218,13.6059063053218,18.3356067890536,16.6890355336831,20.9363246509367,25.1206153062653,21.8772930497568,21.4815697676208,21.7837267496154,19.431354757371,13.6059063053218,13.6059063053218,13.6059063053218,14.0964057365345,13.6059063053218,18.5234904363838,19.5204037986142,19.6954018109049,24.1159602140064,21.9191269658673,21.1930991482954,18.6870094301546,13.6059063053218,13.6059063053218,13.6059063053218,13.6059063053218,15.4241998473812,13.6059063053218
"060070007",17.5885475412881,22.0132156059779,25.4939671501231,21.6411568639867,22.0354497316148,14.5976924787411,13.9099087780214,13.9099087780214,13.9099087780214,13.9099087780214,13.9099087780214,17.6035395890363,21.379214971289,24.1621886718141,24.229345119877,21.7999393492953,21.3434965063431,21.0806259867422,13.9099087780214,13.9099087780214,13.9099087780214,13.9099087780214,20.1696803075608,15.7248102858985,21.3832652789859,21.2440955192939,22.2184518073923,22.2752563099361,21.6310912587403,18.888757122205,13.9099087780214,13.9099087780214,13.9099087780214,13.9099087780214,18.5886076798029,16.8979929409638,21.1583911825805,25.5861721630836,22.1362407975954,21.6888154810901,22.0736053718543,19.8389382483734,13.9099087780214,13.9099087780214,13.9099087780214,14.5230330670373,13.9099087780214,18.7978713772048,19.4093210546783,19.5433809123418,24.3828217922567,22.1727403846382,21.4587196871316,19.2398374397667,13.9099087780214,13.9099087780214,13.9099087780214,13.9099087780214,15.7282023200808,13.9099087780214
"060090001",19.0370938600876,22.8961779877421,24.4874020903246,22.3752270047261,22.9172022601912,17.2017827739389,15.8840671466717,15.9870470857222,15.8840671466717,15.8840671466717,15.8840671466717,18.5750615207783,22.0322706941972,23.2716932053922,23.5212036388116,22.4096934984685,22.5257115148852,22.7772969563959,15.9770560485106,15.8840671466717,15.8840671466717,15.8840671466717,20.9900316656819,16.9616514417845,22.0092726202852,21.0149529515257,23.0304816368381,23.8265379054138,22.2963654249302,21.109257691185,15.8840671466717,15.8840671466717,15.8840671466717,15.8840671466717,19.5380511705977,17.8613749438321,21.9772345726991,24.994066423086,23.1753012677755,22.4091690485365,23.2211224120115,21.6711856112158,15.8840671466717,15.8840671466717,15.8840671466717,16.6811287223923,15.8840671466717,20.1257472720941,19.3305330304473,18.9971700883121,23.2326041351243,22.9625549098612,22.6985347478106,20.5693051020738,15.8840671466717,15.8840671466717,15.8840671466717,15.8840671466717,15.8840671466717,15.8840671466717
"060111002",16.9520513345265,21.4433354311902,23.7472058402367,21.042887233781,21.4943587309056,14.0586449238868,13.5084179633111,13.5084179633111,13.5084179633111,13.5084179633111,13.5084179633111,17.0061769470964,20.821952717553,22.6549452491361,22.7428909599321,21.1933653278945,20.9347592270493,20.6804082574795,13.8338791197475,13.5084179633111,13.5084179633111,13.5084179633111,19.8535616410554,15.4849781155837,20.7994110157164,20.483272200005,21.6126431174238,21.6894631426136,21.0438712481551,18.2923342286175,13.5084179633111,13.5084179633111,13.5084179633111,13.5084179633111,18.021254986648,16.3461226810246,20.6377803101965,23.819410411137,21.5535876116481,21.1337270732228,21.4671679445032,19.2933811581404,13.5084179633111,13.5084179633111,13.5084179633111,13.9989173945238,13.5084179633111,18.3221355546987,19.1974608828604,19.3635053748433,22.7674515604748,21.5705611058561,20.9461527456773,18.0974252124848,13.5084179633111,13.5084179633111,13.5084179633111,13.5084179633111,14.4175647343408,13.5084179633111
"060130002",18.119259496672,22.0287608504242,22.8252640974678,21.5405032860569,22.0083239993942,15.5104017736438,14.8406173641103,14.9950872726862,14.8406173641103,14.8406173641103,14.8406173641103,17.8622112058177,21.2750472320698,22.2550350023019,22.318731343435,21.4741535210346,21.7647064290402,21.4129984109025,15.3985507751441,14.8406173641103,14.8406173641103,14.8406173641103,20.5439415984071,17.3442493357402,21.0629166648378,20.0108167851009,22.0000784201651,22.9988449995553,21.4057901818766,19.1220687787782,14.8406173641103,14.8406173641103,14.8406173641103,14.8406173641103,18.5561184831555,17.2232769469598,21.1307348869921,22.740320450488,22.205902706104,21.6664685323727,22.0822893815305,19.8721984548509,14.8406173641103,14.8406173641103,14.8406173641103,14.8712735785611,14.8406173641103,19.0703735154769,20.3916611416366,20.1201074023009,22.1379729123375,21.9307341010875,21.7060449089143,17.9538270836122,14.8406173641103,14.8406173641103,14.8406173641103,14.8406173641103,14.8406173641103,14.8406173641103
